Employee #,First Name,Preferred Name,Last Name,First Name Last Name,Job Title,Department,Division,Reporting to,Hire Date,Work Email,Birth Date,Gender,Employment Status,City,State,Zip Code,Compensation: Date,Pay rate,Time Type,Exempt,Pay Schedule,Termination Date,Radford Level,Bonus Type,Bonus Amount,EEID
EMP00045,Skyler,,Clark,Skyler Clark,Account Executive,Enterprise Sales,Sales & Revenue,EMP00013,2019-05-16,skyler.clark@theguild.com,1995-05-26,Male,Active,Atlanta,GA,30301,2026-01-01,95473,Salary,Exempt,Twice a Month,,P2,Annual Bonus,4773,EEID00045
EMP00046,Rowan,,Johnson,Rowan Johnson,Software Engineer,AI & Machine Learning,Engineering & Technology,EMP00011,2019-06-17,rowan.johnson@theguild.com,1999-03-26,Non-Binary,Active,Chicago,IL,60601,2026-01-01,116320,Salary,Exempt,Monthly,,P2,Annual Bonus,5816,EEID00046
EMP00047,Daniel,,Carter,Daniel Carter,Senior Ops Manager,Business Operations,Operations,EMP00014,2018-09-18,daniel.carter@theguild.com,1996-05-12,,Active,New York,NY,10001,2026-01-01,151034,Hourly,Exempt,Monthly,,M2,No Bonus,0,EEID00047
EMP00048,Aria,,Hill,Aria Hill,Junior Software Engineer,IT,Engineering & Technology,EMP00008,2022-12-22,aria.hill@theguild.com,1978-04-19,Male,Active,Raleigh,NC,27601,2026-01-01,76080,Hourly,Non-Exempt,Monthly,,P1,Commission,22824,EEID00048
EMP00049,Drew,,Martinez,Drew Martinez,Senior Software Engineer,Quality Assurance,Engineering & Technology,EMP00024,2020-07-24,drew.martinez@theguild.com,1993-07-24,Non-Binary,Active,Seattle,WA,98101,2026-01-01,134734,Salary,Exempt,Bi-Weekly,,P3,Commission,26946,EEID00049
EMP00050,Nora,,Clark,Nora Clark,Senior HR Business Partner,Legal,G&A,EMP00023,2019-06-17,nora.clark@theguild.com,1999-12-16,Male,Active,Austin,TX,73301,2026-01-01,115003,Salary,Exempt,Twice a Month,,P3,Annual Bonus,9200,EEID00050
EMP00051,Ashley,,Clark,Ashley Clark,Sales Development Representative,Channel & Partnerships,Sales & Revenue,EMP00009,2024-03-28,ashley.clark@theguild.com,1991-06-28,Male,Active,Denver,CO,80201,2026-01-01,66522,Salary,Non-Exempt,Bi-Weekly,,P1,Annual Bonus,5321,EEID00051
EMP00052,Bryn,,Anderson,Bryn Anderson,Operations Associate,FP&A,Operations,EMP00012,2024-05-08,bryn.anderson@theguild.com,1992-12-23,Male,Active,Salt Lake City,UT,84101,2026-01-01,60911,Salary,Non-Exempt,Monthly,,P1,Annual Bonus,3045,EEID00052
EMP00053,Taylor,,Garcia,Taylor Garcia,HRBP Lead,Talent Acquisition,G&A,EMP00012,2024-12-05,taylor.garcia@theguild.com,1977-03-26,Male,Active,Provo,UT,84601,2026-01-01,159251,Salary,Exempt,Monthly,,P4,Annual Bonus,7962,EEID00053
EMP00054,Kai,,Carter,Kai Carter,Associate Director of Marketing,Corporate Communications,Marketing,EMP00024,2025-08-11,kai.carter@theguild.com,1996-10-29,Non-Binary,Active,Phoenix,AZ,85001,2026-01-01,184475,Salary,Exempt,Bi-Weekly,,P4,No Bonus,0,EEID00054
EMP00055,Jason,,Sanchez,Jason Sanchez,Senior CS Manager,Customer Success Management,Customer Success,EMP00012,2022-10-30,jason.sanchez@theguild.com,1982-11-18,Female,Active,Seattle,WA,98101,2026-01-01,200080,Salary,Exempt,Twice a Month,,M2,No Bonus,0,EEID00055
EMP00056,Reid,,Turner,Reid Turner,Design Manager,UX Research,Product,EMP00009,2025-03-07,reid.turner@theguild.com,1993-09-26,Non-Binary,Active,Provo,UT,84601,2026-01-01,150130,Hourly,Exempt,Twice a Month,,M1,No Bonus,0,EEID00056
EMP00057,Nora,,Johnson,Nora Johnson,Enterprise Account Executive,SMB Sales,Sales & Revenue,EMP00009,2021-10-22,nora.johnson@theguild.com,1984-12-09,Non-Binary,Active,Provo,UT,84601,2026-01-01,163620,Hourly,Exempt,Monthly,,P4,Commission,32724,EEID00057
EMP00058,Sarah,,Allen,Sarah Allen,HR Generalist,Legal,G&A,EMP00011,2018-11-05,sarah.allen@theguild.com,1982-12-12,,Active,Portland,OR,97201,2026-01-01,89679,Salary,Exempt,Bi-Weekly,,P2,No Bonus,0,EEID00058
EMP00059,Blake,,Parker,Blake Parker,Senior Customer Success Manager,Professional Services,Customer Success,EMP00009,2018-10-31,blake.parker@theguild.com,1988-12-03,,Active,Salt Lake City,UT,84101,2026-01-01,133820,Salary,Exempt,Monthly,,P3,Annual Bonus,20073,EEID00059
EMP00060,Casey,,Brown,Casey Brown,Sales Manager,Sales Operations,Sales & Revenue,EMP00010,2023-05-03,casey.brown@theguild.com,1997-06-28,Female,Contractor,San Jose,CA,95101,2026-01-01,158032,Hourly,Exempt,Bi-Weekly,,M1,Annual Bonus,23704,EEID00060
EMP00061,Aurora,,Miller,Aurora Miller,Operations Associate,Data Analytics & Insights,Operations,EMP00056,2022-08-02,aurora.miller@theguild.com,1990-03-06,Male,Active,Minneapolis,MN,55401,2026-01-01,63118,Salary,Non-Exempt,Bi-Weekly,,P1,Annual Bonus,6311,EEID00061
EMP00062,James,,Perez,James Perez,Senior Software Engineer,Architecture,Engineering & Technology,EMP00047,2025-05-11,james.perez@theguild.com,1992-07-31,Female,Active,Los Angeles,CA,90001,2026-01-01,148028,Salary,Exempt,Bi-Weekly,,P3,Annual Bonus,11842,EEID00062
EMP00063,Aria,,Scott,Aria Scott,Marketing Coordinator,Events & Community,Marketing,EMP00013,2019-09-27,aria.scott@theguild.com,1978-06-18,Non-Binary,Active,Denver,CO,80201,2026-01-01,55597,Salary,Non-Exempt,Bi-Weekly,,P1,Annual Bonus,2779,EEID00063
EMP00064,Finn,,Evans,Finn Evans,Customer Success Associate,Renewals,Customer Success,EMP00014,2025-08-02,finn.evans@theguild.com,1985-08-27,,Active,Boston,MA,02101,2026-01-01,74570,Salary,Non-Exempt,Monthly,,P1,Commission,14914,EEID00064
EMP00065,Aurora,,Anderson,Aurora Anderson,CS Team Lead,Customer Support,Customer Success,EMP00047,2022-09-11,aurora.anderson@theguild.com,1982-04-09,Female,Leave of Absence,Minneapolis,MN,55401,2026-01-01,179453,Salary,Exempt,Twice a Month,,P4,Commission,53835,EEID00065
EMP00066,Jake,,Brown,Jake Brown,Finance Associate,Compliance,G&A,EMP00060,2021-12-02,jake.brown@theguild.com,1976-03-12,,Active,Minneapolis,MN,55401,2026-01-01,57748,Salary,Non-Exempt,Monthly,,P1,Annual Bonus,5774,EEID00066
EMP00067,Liam,,Allen,Liam Allen,Sales Development Representative,Sales Development,Sales & Revenue,EMP00013,2025-10-22,liam.allen@theguild.com,1981-03-23,,Terminated,Los Angeles,CA,90001,2026-01-01,55923,Salary,Exempt,Monthly,2026-08-24,P1,Annual Bonus,5592,EEID00067
EMP00068,Skyler,,Smith,Skyler Smith,Software Engineer,Software Engineering,Engineering & Technology,EMP00011,2023-08-10,skyler.smith@theguild.com,1999-01-17,Male,Active,San Jose,CA,95101,2026-01-01,98881,Salary,Non-Exempt,Twice a Month,,P2,Annual Bonus,2966,EEID00068
EMP00069,Matt,,Jackson,Matt Jackson,Marketing Specialist,Demand Generation,Marketing,EMP00024,2022-03-10,matt.jackson@theguild.com,1986-05-18,Male,Contractor,Austin,TX,73301,2026-01-01,85610,Salary,Non-Exempt,Twice a Month,,P2,Annual Bonus,8561,EEID00069
EMP00070,James,,Thompson,James Thompson,Senior Product Manager,Product Management,Product,EMP00024,2020-01-17,james.thompson@theguild.com,1981-01-18,Male,Active,Boston,MA,02101,2026-01-01,128088,Hourly,Exempt,Twice a Month,,P3,No Bonus,0,EEID00070
EMP00071,Casey,,Jackson,Casey Jackson,Associate Product Manager,Product Management,Product,EMP00014,2020-02-22,casey.jackson@theguild.com,1987-11-01,Non-Binary,Part Time,Lehi,UT,84043,2026-01-01,71888,Hourly,Non-Exempt,Monthly,,P1,No Bonus,0,EEID00071
EMP00072,Luke,,Moore,Luke Moore,Staff Software Engineer,AI & Machine Learning,Engineering & Technology,EMP00010,2018-11-20,luke.moore@theguild.com,1994-04-26,Female,Active,Raleigh,NC,27601,2026-01-01,157219,Salary,Exempt,Bi-Weekly,,P4,Annual Bonus,15721,EEID00072
EMP00073,Ella,,Miller,Ella Miller,Senior Software Engineer,AI & Machine Learning,Engineering & Technology,EMP00010,2021-12-15,ella.miller@theguild.com,1994-07-06,Non-Binary,Active,Atlanta,GA,30301,2026-01-01,132925,Hourly,Exempt,Monthly,,P3,No Bonus,0,EEID00073
EMP00074,Sarah,,Carter,Sarah Carter,Financial Analyst,Payroll,G&A,EMP00055,2022-02-09,sarah.carter@theguild.com,1991-03-31,,Active,San Jose,CA,95101,2026-01-01,119817,Salary,Exempt,Bi-Weekly,,P2,No Bonus,0,EEID00074
EMP00075,Drew,,Martinez,Drew Martinez,Senior HR Business Partner,Compliance,G&A,EMP00010,2018-04-17,drew.martinez@theguild.com,1983-05-07,,Active,Dallas,TX,75201,2026-01-01,142612,Salary,Exempt,Bi-Weekly,,P3,Annual Bonus,4278,EEID00075
EMP00076,Sage,,Davis,Sage Davis,Account Executive,Sales Operations,Sales & Revenue,EMP00009,2025-06-28,sage.davis@theguild.com,1990-08-02,Male,Active,Austin,TX,73301,2026-01-01,93118,Hourly,Exempt,Twice a Month,,P2,Annual Bonus,7449,EEID00076
EMP00077,Will,,Nguyen,Will Nguyen,Product Manager,Product Design,Product,EMP00011,2024-11-11,will.nguyen@theguild.com,1978-11-13,Male,Active,San Francisco,CA,94101,2026-01-01,89101,Salary,Non-Exempt,Twice a Month,,P2,Commission,8910,EEID00077
EMP00078,Liam,,Turner,Liam Turner,Finance Manager,Compliance,G&A,EMP00055,2024-08-04,liam.turner@theguild.com,1983-03-01,Female,Active,Minneapolis,MN,55401,2026-01-01,155776,Salary,Exempt,Bi-Weekly,,P4,Commission,46732,EEID00078
EMP00079,Finn,,Rogers,Finn Rogers,Operations Analyst,Business Operations,Operations,EMP00013,2021-01-29,finn.rogers@theguild.com,1980-08-12,Non-Binary,Terminated,Atlanta,GA,30301,2026-01-01,90614,Salary,Exempt,Bi-Weekly,2024-04-06,P2,Annual Bonus,13592,EEID00079
EMP00080,Finn,,Nelson,Finn Nelson,Senior Product Manager,Product Design,Product,EMP00008,2024-12-06,finn.nelson@theguild.com,1976-05-11,,Contractor,Provo,UT,84601,2026-01-01,110323,Salary,Exempt,Bi-Weekly,,P3,Commission,22064,EEID00080
EMP00081,Will,,Walker,Will Walker,Associate Product Manager,Product Operations,Product,EMP00014,2021-07-31,will.walker@theguild.com,1990-06-29,,Active,Denver,CO,80201,2026-01-01,69404,Salary,Exempt,Bi-Weekly,,P1,No Bonus,0,EEID00081
EMP00082,Chloe,,Allen,Chloe Allen,CS Team Lead,Customer Success Management,Customer Success,EMP00011,2020-10-13,chloe.allen@theguild.com,1982-03-01,Non-Binary,Active,San Jose,CA,95101,2026-01-01,164464,Salary,Exempt,Twice a Month,,P4,Commission,32892,EEID00082
EMP00083,Kevin,,Parker,Kevin Parker,Staff Product Manager,Product Operations,Product,EMP00008,2021-12-16,kevin.parker@theguild.com,1977-03-08,Male,Active,Dallas,TX,75201,2026-01-01,167595,Hourly,Exempt,Bi-Weekly,,P4,Annual Bonus,25139,EEID00083
EMP00084,Violet,,Green,Violet Green,Operations Associate,FP&A,Operations,EMP00012,2024-04-20,violet.green@theguild.com,1983-09-25,Non-Binary,Active,Dallas,TX,75201,2026-01-01,59388,Salary,Exempt,Twice a Month,,P1,Annual Bonus,8908,EEID00084
EMP00085,Sarah,,Harris,Sarah Harris,Senior Customer Success Manager,Professional Services,Customer Success,EMP00014,2023-09-17,sarah.harris@theguild.com,1993-01-02,Male,Active,Los Angeles,CA,90001,2026-01-01,111336,Salary,Exempt,Bi-Weekly,,P3,Annual Bonus,16700,EEID00085
EMP00086,Casey,,Rodriguez,Casey Rodriguez,Finance Manager,Procurement,G&A,EMP00010,2021-05-10,casey.rodriguez@theguild.com,1990-02-02,,Active,Boise,ID,83701,2026-01-01,168784,Salary,Exempt,Bi-Weekly,,P4,Commission,50635,EEID00086
EMP00087,Leo,,Stewart,Leo Stewart,Junior Software Engineer,AI & Machine Learning,Engineering & Technology,EMP00060,2018-07-30,leo.stewart@theguild.com,1996-07-20,Female,Terminated,San Francisco,CA,94101,2026-01-01,65081,Hourly,Non-Exempt,Bi-Weekly,2026-11-10,P1,No Bonus,0,EEID00087
EMP00088,Matt,,Stewart,Matt Stewart,Finance Manager,Talent Acquisition,G&A,EMP00013,2023-04-16,matt.stewart@theguild.com,1977-10-17,Female,Active,Phoenix,AZ,85001,2026-01-01,148903,Salary,Exempt,Twice a Month,,M1,Commission,44670,EEID00088
EMP00089,Sage,,Lee,Sage Lee,Senior Financial Analyst,Compliance,G&A,EMP00013,2024-04-04,sage.lee@theguild.com,1988-05-22,Female,Active,Portland,OR,97201,2026-01-01,139939,Hourly,Exempt,Bi-Weekly,,P3,Annual Bonus,11195,EEID00089
EMP00090,Ben,,Turner,Ben Turner,Senior Product Manager,Product Operations,Product,EMP00047,2018-06-22,ben.turner@theguild.com,1987-11-26,Male,Active,Dallas,TX,75201,2026-01-01,112987,Hourly,Exempt,Bi-Weekly,,P3,Annual Bonus,9038,EEID00090
EMP00091,Kai,,Nelson,Kai Nelson,Senior Account Executive,Account Management,Sales & Revenue,EMP00047,2023-12-16,kai.nelson@theguild.com,1985-02-14,Female,Active,Chicago,IL,60601,2026-01-01,112158,Salary,Exempt,Monthly,,P3,No Bonus,0,EEID00091
EMP00092,David,,Clark,David Clark,Sales Manager,Account Management,Sales & Revenue,EMP00010,2025-03-30,david.clark@theguild.com,1977-08-27,Male,Terminated,Raleigh,NC,27601,2026-01-01,146667,Salary,Exempt,Bi-Weekly,2025-09-01,M1,Annual Bonus,11733,EEID00092
EMP00093,Reid,,Campbell,Reid Campbell,HR Generalist,Finance,G&A,EMP00088,2024-05-15,reid.campbell@theguild.com,1979-10-25,Non-Binary,Active,Raleigh,NC,27601,2026-01-01,82381,Salary,Non-Exempt,Monthly,,P2,Annual Bonus,6590,EEID00093
EMP00094,Ezra,,Nelson,Ezra Nelson,Customer Success Manager,Solutions Engineering,Customer Success,EMP00060,2021-04-23,ezra.nelson@theguild.com,2000-06-20,Female,Active,Boston,MA,02101,2026-01-01,92636,Hourly,Non-Exempt,Bi-Weekly,,P2,Annual Bonus,7410,EEID00094
EMP00095,Skyler,,Nguyen,Skyler Nguyen,Senior Financial Analyst,Payroll,G&A,EMP00009,2020-12-04,skyler.nguyen@theguild.com,1992-03-16,Female,Active,New York,NY,10001,2026-01-01,148860,Hourly,Exempt,Bi-Weekly,,P3,Annual Bonus,4465,EEID00095
EMP00096,Sam,,Perez,Sam Perez,Senior Account Executive,Enterprise Sales,Sales & Revenue,EMP00009,2019-04-26,sam.perez@theguild.com,1988-03-26,Non-Binary,Active,Boston,MA,02101,2026-01-01,148764,Hourly,Exempt,Bi-Weekly,,P3,No Bonus,0,EEID00096
