Employee #,Name,Reports to 1,Reports to 2,Reports to 3,Reports to 4,Reports to 5,Reports to 6,Reports to 7,Reports to 1 Level,Reports to 2 Level,Reports to 3 Level,Reports to 4 Level,Reports to 5 Level,Reports to 6 Level,Reports to 7 Level,Director,E-1,First Executive,Executive,Skip Level Manager,Employee Status
EMP00077,Will Nguyen,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00078,Liam Turner,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00079,Finn Rogers,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Terminated
EMP00080,Finn Nelson,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Contractor
EMP00081,Will Walker,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00082,Chloe Allen,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00083,Kevin Parker,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00084,Violet Green,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00085,Sarah Harris,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00086,Casey Rodriguez,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00087,Leo Stewart,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Terminated
EMP00088,Matt Stewart,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00089,Sage Lee,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00090,Ben Turner,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00091,Kai Nelson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00092,David Clark,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Terminated
EMP00093,Reid Campbell,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00094,Ezra Nelson,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00095,Skyler Nguyen,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00096,Sam Perez,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00097,Jason Rodriguez,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00098,Quinn Morris,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00099,Blake Brown,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00100,Leo Williams,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00101,Isla Rodriguez,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00102,Casey Collins,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00103,Amanda Allen,EMP00092,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00104,Sage Young,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00105,Sage Clark,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Terminated
EMP00106,Peyton Phillips,EMP00092,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00107,Jade Lee,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Terminated
EMP00108,Matt Johnson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00109,Lily Hernandez,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00110,Quinn Adams,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00111,Kevin Adams,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00112,Noah Harris,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00113,Riley Morgan,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00114,Amanda Edwards,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00115,Jade Harris,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00116,Emily Smith,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00117,Zoe Smith,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00118,Will Walker,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00119,Ella Green,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Contractor
EMP00120,Jade Johnson,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00121,Aurora Green,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00122,Stella Miller,EMP00092,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00123,Matt Thompson,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00124,Kayla King,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00125,Zoe Smith,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00126,Dylan Thompson,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00127,Rowan Rodriguez,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00128,Sage Allen,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00129,Ezra Torres,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00130,Dylan Murphy,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00131,Rowan Wright,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00132,Ella Morris,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00133,Ash Smith,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00134,Mia Cook,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00135,Emily Nelson,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00136,Sarah Rodriguez,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00137,Nate White,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00138,Emily Cook,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00139,Liam Jackson,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00140,June Mitchell,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00141,Michael Martin,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00142,Andrew Davis,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00143,Miles Moore,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00144,Riley Nguyen,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Terminated
EMP00145,Bryn White,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Leave of Absence
EMP00146,Chloe Gonzalez,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Part Time
EMP00147,Luke Smith,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00148,Ezra Campbell,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00149,Samantha Jones,EMP00092,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00150,Ryan Collins,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00151,David Robinson,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00152,Luke Davis,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00153,Skyler Adams,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00154,Lily Walker,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00155,David Thomas,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00156,Blake Torres,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00157,Mia Turner,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Contractor
EMP00158,Cole Nelson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00159,Rachel Green,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00160,Dylan Taylor,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Contractor
EMP00161,Aurora Jones,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00162,Lauren Green,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00163,Stephanie Brown,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00164,Emily Nelson,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00165,Dylan Collins,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Contractor
EMP00166,Aurora Lopez,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00167,Wren Robinson,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00168,Hannah Harris,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00169,Sam Cook,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00170,Drew Nelson,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00171,Megan Morris,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00172,Rowan Lewis,EMP00171,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
